certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #1,What is the primary purpose of Passive and active reconnaissance?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Passive and active reconnaissance, using recommended services and controls per the exam guide.",B,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: B** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #2,Which concept is fundamental to Passive and active reconnaissance?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Passive and active reconnaissance using Offensive Security best practices for Information Gathering, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: C** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #3,Identify the core principle behind Passive and active reconnaissance?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official Information Gathering guidance: Passive and active reconnaissance — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: D** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #4,Which description accurately reflects Passive and active reconnaissance?,"Follow the documented approach for Passive and active reconnaissance, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: A** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #5,Which statement best defines the scope of Passive and active reconnaissance?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Passive and active reconnaissance using Offensive Security best practices for Information Gathering, including monitoring and least privilege.",B,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: B** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #6,What is the primary purpose of Passive and active reconnaissance?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Information Gathering guidance: Passive and active reconnaissance — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: C** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #7,Which concept is fundamental to Passive and active reconnaissance?,Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Passive and active reconnaissance, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: D** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #8,Identify the core principle behind Passive and active reconnaissance?,"Implement Passive and active reconnaissance using Offensive Security best practices for Information Gathering, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: A** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #9,Which description accurately reflects Passive and active reconnaissance?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Information Gathering guidance: Passive and active reconnaissance — this aligns with exam blueprint expectations and vendor documentation.,B,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: B** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
oscp,information-gathering,IG-1,OSCP — IG-1 (EASY) #10,Which statement best defines the scope of Passive and active reconnaissance?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Passive and active reconnaissance, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,oscp|information-gathering|IG-1|easy|blueprint-seed,**Answer: C** — Passive and active reconnaissance. Review the official Offensive Security exam guide (OSCP) and linked documentation. Objective: IG-1.,https://www.offensive-security.com/oscp/|https://help.offensive-security.com/
