certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #1,"What is the primary purpose of Define service, value, and stakeholders?",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Define service, value, and stakeholders, using recommended services and controls per the exam guide.",B,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: B** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #2,"Which concept is fundamental to Define service, value, and stakeholders?","Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Define service, value, and stakeholders using AXELOS best practices for Understand Key Concepts of Service Management, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: C** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #3,"Identify the core principle behind Define service, value, and stakeholders?",Mix controls from unrelated domains that do not address the stated objective.,"Apply the official Understand Key Concepts of Service Management guidance: Define service, value, and stakeholders — this aligns with exam blueprint expectations and vendor documentation.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: D** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #4,"Which description accurately reflects Define service, value, and stakeholders?","Follow the documented approach for Define service, value, and stakeholders, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: A** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #5,"Which statement best defines the scope of Define service, value, and stakeholders?",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Define service, value, and stakeholders using AXELOS best practices for Understand Key Concepts of Service Management, including monitoring and least privilege.",B,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: B** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #6,"What is the primary purpose of Define service, value, and stakeholders?","Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Apply the official Understand Key Concepts of Service Management guidance: Define service, value, and stakeholders — this aligns with exam blueprint expectations and vendor documentation.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: C** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #7,"Which concept is fundamental to Define service, value, and stakeholders?",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Define service, value, and stakeholders, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: D** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #8,"Identify the core principle behind Define service, value, and stakeholders?","Implement Define service, value, and stakeholders using AXELOS best practices for Understand Key Concepts of Service Management, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: A** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #9,"Which description accurately reflects Define service, value, and stakeholders?",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Apply the official Understand Key Concepts of Service Management guidance: Define service, value, and stakeholders — this aligns with exam blueprint expectations and vendor documentation.",B,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: B** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #10,"Which statement best defines the scope of Define service, value, and stakeholders?","Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Define service, value, and stakeholders, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: C** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (EASY) #11,"What is the primary purpose of Define service, value, and stakeholders?",Mix controls from unrelated domains that do not address the stated objective.,"Implement Define service, value, and stakeholders using AXELOS best practices for Understand Key Concepts of Service Management, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,itil-foundation|service-management|SM-1|easy|blueprint-seed,"**Answer: D** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
itil-foundation,service-management,SM-1,ITIL 4 Foundation — SM-1 (MEDIUM) #12,"During a project review, stakeholders ask how to Define service, value, and stakeholders in the context of ITIL 4 Foundation?","Apply the official Understand Key Concepts of Service Management guidance: Define service, value, and stakeholders — this aligns with exam blueprint expectations and vendor documentation.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,MEDIUM,itil-foundation|service-management|SM-1|medium|blueprint-seed,"**Answer: A** — Define service, value, and stakeholders. Review the official AXELOS exam guide (ITIL 4 Foundation) and linked documentation. Objective: SM-1.",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation
