certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
cka,storage,ST-1,CKA — ST-1 (EASY) #1,What is the primary purpose of Implement storage classes and PVs?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Implement storage classes and PVs, using recommended services and controls per the exam guide.",B,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: B** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #2,Which concept is fundamental to Implement storage classes and PVs?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Implement storage classes and PVs using CNCF best practices for Storage, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: C** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #3,Identify the core principle behind Implement storage classes and PVs?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official Storage guidance: Implement storage classes and PVs — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: D** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #4,Which description accurately reflects Implement storage classes and PVs?,"Follow the documented approach for Implement storage classes and PVs, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: A** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #5,Which statement best defines the scope of Implement storage classes and PVs?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Implement storage classes and PVs using CNCF best practices for Storage, including monitoring and least privilege.",B,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: B** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #6,What is the primary purpose of Implement storage classes and PVs?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Storage guidance: Implement storage classes and PVs — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: C** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #7,Which concept is fundamental to Implement storage classes and PVs?,Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Implement storage classes and PVs, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: D** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (EASY) #8,Identify the core principle behind Implement storage classes and PVs?,"Implement Implement storage classes and PVs using CNCF best practices for Storage, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,cka|storage|ST-1|easy|blueprint-seed,**Answer: A** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (MEDIUM) #9,What is the recommended design when applying Implement storage classes and PVs in the context of Certified Kubernetes Administrator?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Storage guidance: Implement storage classes and PVs — this aligns with exam blueprint expectations and vendor documentation.,B,MEDIUM,cka|storage|ST-1|medium|blueprint-seed,**Answer: B** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (MEDIUM) #10,A team must implement a solution for Implement storage classes and PVs in the context of Certified Kubernetes Administrator?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Implement storage classes and PVs, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,MEDIUM,cka|storage|ST-1|medium|blueprint-seed,**Answer: C** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
cka,storage,ST-1,CKA — ST-1 (MEDIUM) #11,Which approach aligns with best practices when Implement storage classes and PVs in the context of Certified Kubernetes Administrator?,Mix controls from unrelated domains that do not address the stated objective.,"Implement Implement storage classes and PVs using CNCF best practices for Storage, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,MEDIUM,cka|storage|ST-1|medium|blueprint-seed,**Answer: D** — Implement storage classes and PVs. Review the official CNCF exam guide (CKA) and linked documentation. Objective: ST-1.,https://kubernetes.io/docs/|https://www.cncf.io/certification/cka/
