certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #1,What is the primary purpose of Design and implement incident response workflows?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Design and implement incident response workflows, using recommended services and controls per the exam guide.",B,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: B** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #2,Which concept is fundamental to Design and implement incident response workflows?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Design and implement incident response workflows using AWS best practices for Incident Response, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: C** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #3,Identify the core principle behind Design and implement incident response workflows?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official Incident Response guidance: Design and implement incident response workflows — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: D** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #4,Which description accurately reflects Design and implement incident response workflows?,"Follow the documented approach for Design and implement incident response workflows, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: A** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #5,Which statement best defines the scope of Design and implement incident response workflows?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Design and implement incident response workflows using AWS best practices for Incident Response, including monitoring and least privilege.",B,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: B** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #6,What is the primary purpose of Design and implement incident response workflows?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Incident Response guidance: Design and implement incident response workflows — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: C** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #7,Which concept is fundamental to Design and implement incident response workflows?,Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Design and implement incident response workflows, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: D** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #8,Identify the core principle behind Design and implement incident response workflows?,"Implement Design and implement incident response workflows using AWS best practices for Incident Response, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: A** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #9,Which description accurately reflects Design and implement incident response workflows?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Incident Response guidance: Design and implement incident response workflows — this aligns with exam blueprint expectations and vendor documentation.,B,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: B** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
aws-security-specialty,incident-response,IR-1,SCS-C02 — IR-1 (EASY) #10,Which statement best defines the scope of Design and implement incident response workflows?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Design and implement incident response workflows, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,aws-security-specialty|incident-response|IR-1|easy|blueprint-seed,**Answer: C** — Design and implement incident response workflows. Review the official AWS exam guide (SCS-C02) and linked documentation. Objective: IR-1.,https://docs.aws.amazon.com/security/|https://aws.amazon.com/certification/certified-security-specialty/
