certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #1,What is the primary purpose of Understand security governance principles?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Understand security governance principles, using recommended services and controls per the exam guide.",B,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: B** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #2,Which concept is fundamental to Understand security governance principles?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Understand security governance principles using ISC2 best practices for Security and Risk Management, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: C** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #3,Identify the core principle behind Understand security governance principles?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official Security and Risk Management guidance: Understand security governance principles — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: D** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #4,Which description accurately reflects Understand security governance principles?,"Follow the documented approach for Understand security governance principles, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: A** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #5,Which statement best defines the scope of Understand security governance principles?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Understand security governance principles using ISC2 best practices for Security and Risk Management, including monitoring and least privilege.",B,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: B** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #6,What is the primary purpose of Understand security governance principles?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Security and Risk Management guidance: Understand security governance principles — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: C** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #7,Which concept is fundamental to Understand security governance principles?,Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Understand security governance principles, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: D** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (EASY) #8,Identify the core principle behind Understand security governance principles?,"Implement Understand security governance principles using ISC2 best practices for Security and Risk Management, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,cissp|security-risk|SR-1|easy|blueprint-seed,**Answer: A** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (MEDIUM) #9,What is the recommended design when applying Understand security governance principles in the context of Certified Information Systems Security Professional?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Security and Risk Management guidance: Understand security governance principles — this aligns with exam blueprint expectations and vendor documentation.,B,MEDIUM,cissp|security-risk|SR-1|medium|blueprint-seed,**Answer: B** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
cissp,security-risk,SR-1,CISSP — SR-1 (MEDIUM) #10,A team must implement a solution for Understand security governance principles in the context of Certified Information Systems Security Professional?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Understand security governance principles, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,MEDIUM,cissp|security-risk|SR-1|medium|blueprint-seed,**Answer: C** — Understand security governance principles. Review the official ISC2 exam guide (CISSP) and linked documentation. Objective: SR-1.,https://www.isc2.org/certifications/cissp|https://www.isc2.org/CISSP-Exam-Outline
