certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #1,What is the primary purpose of Mitigate threats using Microsoft Defender XDR?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Mitigate threats using Microsoft Defender XDR, using recommended services and controls per the exam guide.",B,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: B** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #2,Which concept is fundamental to Mitigate threats using Microsoft Defender XDR?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Mitigate threats using Microsoft Defender XDR using Microsoft best practices for Mitigate Threats Using Microsoft Security Solutions, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: C** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #3,Identify the core principle behind Mitigate threats using Microsoft Defender XDR?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official Mitigate Threats Using Microsoft Security Solutions guidance: Mitigate threats using Microsoft Defender XDR — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: D** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #4,Which description accurately reflects Mitigate threats using Microsoft Defender XDR?,"Follow the documented approach for Mitigate threats using Microsoft Defender XDR, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: A** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #5,Which statement best defines the scope of Mitigate threats using Microsoft Defender XDR?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Mitigate threats using Microsoft Defender XDR using Microsoft best practices for Mitigate Threats Using Microsoft Security Solutions, including monitoring and least privilege.",B,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: B** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #6,What is the primary purpose of Mitigate threats using Microsoft Defender XDR?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Mitigate Threats Using Microsoft Security Solutions guidance: Mitigate threats using Microsoft Defender XDR — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: C** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #7,Which concept is fundamental to Mitigate threats using Microsoft Defender XDR?,Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Mitigate threats using Microsoft Defender XDR, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: D** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #8,Identify the core principle behind Mitigate threats using Microsoft Defender XDR?,"Implement Mitigate threats using Microsoft Defender XDR using Microsoft best practices for Mitigate Threats Using Microsoft Security Solutions, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: A** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #9,Which description accurately reflects Mitigate threats using Microsoft Defender XDR?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Mitigate Threats Using Microsoft Security Solutions guidance: Mitigate threats using Microsoft Defender XDR — this aligns with exam blueprint expectations and vendor documentation.,B,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: B** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
sc-200,mitigate-threats,MT-1,SC-200 — MT-1 (EASY) #10,Which statement best defines the scope of Mitigate threats using Microsoft Defender XDR?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Mitigate threats using Microsoft Defender XDR, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,sc-200|mitigate-threats|MT-1|easy|blueprint-seed,**Answer: C** — Mitigate threats using Microsoft Defender XDR. Review the official Microsoft exam guide (SC-200) and linked documentation. Objective: MT-1.,https://learn.microsoft.com/security/|https://learn.microsoft.com/credentials/certifications/security-operations-analyst/
