certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #1,What is the primary purpose of Footprinting and reconnaissance techniques?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Footprinting and reconnaissance techniques, using recommended services and controls per the exam guide.",B,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: B** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #2,Which concept is fundamental to Footprinting and reconnaissance techniques?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Footprinting and reconnaissance techniques using EC-Council best practices for Information Security and Ethical Hacking Overview, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: C** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #3,Identify the core principle behind Footprinting and reconnaissance techniques?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official Information Security and Ethical Hacking Overview guidance: Footprinting and reconnaissance techniques — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: D** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #4,Which description accurately reflects Footprinting and reconnaissance techniques?,"Follow the documented approach for Footprinting and reconnaissance techniques, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: A** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #5,Which statement best defines the scope of Footprinting and reconnaissance techniques?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Footprinting and reconnaissance techniques using EC-Council best practices for Information Security and Ethical Hacking Overview, including monitoring and least privilege.",B,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: B** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #6,What is the primary purpose of Footprinting and reconnaissance techniques?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Information Security and Ethical Hacking Overview guidance: Footprinting and reconnaissance techniques — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: C** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #7,Which concept is fundamental to Footprinting and reconnaissance techniques?,Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Footprinting and reconnaissance techniques, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: D** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #8,Identify the core principle behind Footprinting and reconnaissance techniques?,"Implement Footprinting and reconnaissance techniques using EC-Council best practices for Information Security and Ethical Hacking Overview, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: A** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #9,Which description accurately reflects Footprinting and reconnaissance techniques?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official Information Security and Ethical Hacking Overview guidance: Footprinting and reconnaissance techniques — this aligns with exam blueprint expectations and vendor documentation.,B,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: B** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
ceh,reconnaissance,RC-1,CEH v12 — RC-1 (EASY) #10,Which statement best defines the scope of Footprinting and reconnaissance techniques?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Footprinting and reconnaissance techniques, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,ceh|reconnaissance|RC-1|easy|blueprint-seed,**Answer: C** — Footprinting and reconnaissance techniques. Review the official EC-Council exam guide (CEH v12) and linked documentation. Objective: RC-1.,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/
