# Certification & domain slugs
certification_slug,domain_slug,objective_id
# AWS Certified Machine Learning – Specialty
aws-ml-specialty,data-engineering,DE-1
aws-ml-specialty,data-engineering,DE-2
aws-ml-specialty,data-engineering,DE-3
aws-ml-specialty,exploratory-analysis,EA-1
aws-ml-specialty,exploratory-analysis,EA-2
aws-ml-specialty,exploratory-analysis,EA-3
aws-ml-specialty,exploratory-analysis,EA-4
aws-ml-specialty,modeling,MO-1
aws-ml-specialty,modeling,MO-2
aws-ml-specialty,modeling,MO-3
aws-ml-specialty,modeling,MO-4
aws-ml-specialty,modeling,MO-5
aws-ml-specialty,ml-operations,ML-1
aws-ml-specialty,ml-operations,ML-2
aws-ml-specialty,ml-operations,ML-3
aws-ml-specialty,ml-operations,ML-4

# AWS Solutions Architect Associate
aws-saa-c03,resilient-arch,RA-1
aws-saa-c03,resilient-arch,RA-2
aws-saa-c03,resilient-arch,RA-3
aws-saa-c03,resilient-arch,RA-4
aws-saa-c03,high-performing,HP-1
aws-saa-c03,high-performing,HP-2
aws-saa-c03,high-performing,HP-3
aws-saa-c03,high-performing,HP-4
aws-saa-c03,secure-apps,SA-1
aws-saa-c03,secure-apps,SA-2
aws-saa-c03,secure-apps,SA-3
aws-saa-c03,secure-apps,SA-4
aws-saa-c03,cost-optimized,CO-1
aws-saa-c03,cost-optimized,CO-2
aws-saa-c03,cost-optimized,CO-3
aws-saa-c03,cost-optimized,CO-4

# AWS Certified Security – Specialty
aws-security-specialty,incident-response,IR-1
aws-security-specialty,incident-response,IR-2
aws-security-specialty,incident-response,IR-3
aws-security-specialty,logging-monitoring,LM-1
aws-security-specialty,logging-monitoring,LM-2
aws-security-specialty,logging-monitoring,LM-3
aws-security-specialty,infrastructure-security,IS-1
aws-security-specialty,infrastructure-security,IS-2
aws-security-specialty,infrastructure-security,IS-3
aws-security-specialty,infrastructure-security,IS-4
aws-security-specialty,iam,IAM-1
aws-security-specialty,iam,IAM-2
aws-security-specialty,iam,IAM-3
aws-security-specialty,data-protection,DP-1
aws-security-specialty,data-protection,DP-2
aws-security-specialty,data-protection,DP-3

# Microsoft Azure Fundamentals
az-900,cloud-concepts,CC-1
az-900,cloud-concepts,CC-2
az-900,cloud-concepts,CC-3
az-900,azure-architecture,AA-1
az-900,azure-architecture,AA-2
az-900,azure-architecture,AA-3
az-900,azure-architecture,AA-4
az-900,azure-management,AM-1
az-900,azure-management,AM-2
az-900,azure-management,AM-3
az-900,azure-governance,AG-1
az-900,azure-governance,AG-2

# Cisco CCNA
ccna,network-fundamentals,NF-1
ccna,network-fundamentals,NF-2
ccna,network-fundamentals,NF-3
ccna,ip-connectivity,IC-1
ccna,ip-connectivity,IC-2
ccna,ip-connectivity,IC-3
ccna,ip-services,IS-1
ccna,ip-services,IS-2
ccna,ip-services,IS-3
ccna,security-fundamentals,SF-1
ccna,security-fundamentals,SF-2
ccna,automation,AU-1
ccna,automation,AU-2
ccna,automation,AU-3

# Certified Ethical Hacker
ceh,reconnaissance,RC-1
ceh,reconnaissance,RC-2
ceh,reconnaissance,RC-3
ceh,system-hacking,SH-1
ceh,system-hacking,SH-2
ceh,system-hacking,SH-3
ceh,network-attacks,NA-1
ceh,network-attacks,NA-2
ceh,network-attacks,NA-3
ceh,web-hacking,WH-1
ceh,web-hacking,WH-2
ceh,web-hacking,WH-3
ceh,web-hacking,WH-4

# Certified Information Systems Security Professional
cissp,security-risk,SR-1
cissp,security-risk,SR-2
cissp,security-risk,SR-3
cissp,asset-security,AS-1
cissp,asset-security,AS-2
cissp,security-architecture,AE-1
cissp,security-architecture,AE-2
cissp,security-architecture,AE-3
cissp,communication-network,CN-1
cissp,communication-network,CN-2
cissp,iam,IA-1
cissp,iam,IA-2
cissp,iam,IA-3
cissp,security-assessment,AT-1
cissp,security-assessment,AT-2
cissp,security-operations,OP-1
cissp,security-operations,OP-2
cissp,security-operations,OP-3
cissp,software-security,SD-1
cissp,software-security,SD-2

# Certified Kubernetes Administrator
cka,storage,ST-1
cka,storage,ST-2
cka,workloads,WL-1
cka,workloads,WL-2
cka,workloads,WL-3
cka,services-networking,SN-1
cka,services-networking,SN-2
cka,services-networking,SN-3
cka,cluster-architecture,CA-1
cka,cluster-architecture,CA-2
cka,cluster-architecture,CA-3
cka,cluster-architecture,CA-4
cka,troubleshooting,TR-1
cka,troubleshooting,TR-2
cka,troubleshooting,TR-3
cka,troubleshooting,TR-4

# Google Cloud Associate Cloud Engineer
google-cloud-associate,setting-up,SU-1
google-cloud-associate,setting-up,SU-2
google-cloud-associate,setting-up,SU-3
google-cloud-associate,planning-config,PC-1
google-cloud-associate,planning-config,PC-2
google-cloud-associate,planning-config,PC-3
google-cloud-associate,deploying,DP-1
google-cloud-associate,deploying,DP-2
google-cloud-associate,deploying,DP-3
google-cloud-associate,deploying,DP-4
google-cloud-associate,operations,OP-1
google-cloud-associate,operations,OP-2
google-cloud-associate,operations,OP-3
google-cloud-associate,access-security,AS-1
google-cloud-associate,access-security,AS-2
google-cloud-associate,access-security,AS-3

# ITIL 4 Foundation
itil-foundation,service-management,SM-1
itil-foundation,service-management,SM-2
itil-foundation,guiding-principles,GP-1
itil-foundation,guiding-principles,GP-2
itil-foundation,four-dimensions,FD-1
itil-foundation,four-dimensions,FD-2
itil-foundation,service-value-system,SV-1
itil-foundation,service-value-system,SV-2
itil-foundation,practices,PA-1
itil-foundation,practices,PA-2
itil-foundation,practices,PA-3
itil-foundation,practices,PA-4

# CompTIA Linux+
linux-plus,system-management,SM-1
linux-plus,system-management,SM-2
linux-plus,system-management,SM-3
linux-plus,system-management,SM-4
linux-plus,security,SE-1
linux-plus,security,SE-2
linux-plus,security,SE-3
linux-plus,scripting-containers,SC-1
linux-plus,scripting-containers,SC-2
linux-plus,scripting-containers,SC-3
linux-plus,troubleshooting,TR-1
linux-plus,troubleshooting,TR-2
linux-plus,troubleshooting,TR-3

# CompTIA Network+
network-plus,networking-concepts,NC-1
network-plus,networking-concepts,NC-2
network-plus,networking-concepts,NC-3
network-plus,network-implementation,NI-1
network-plus,network-implementation,NI-2
network-plus,network-implementation,NI-3
network-plus,network-operations,NO-1
network-plus,network-operations,NO-2
network-plus,network-operations,NO-3
network-plus,network-security,NS-1
network-plus,network-security,NS-2
network-plus,network-troubleshooting,NT-1
network-plus,network-troubleshooting,NT-2
network-plus,network-troubleshooting,NT-3

# Offensive Security Certified Professional
oscp,information-gathering,IG-1
oscp,information-gathering,IG-2
oscp,vulnerability-analysis,VA-1
oscp,vulnerability-analysis,VA-2
oscp,vulnerability-analysis,VA-3
oscp,exploitation,EX-1
oscp,exploitation,EX-2
oscp,exploitation,EX-3
oscp,exploitation,EX-4
oscp,post-exploitation,PE-1
oscp,post-exploitation,PE-2
oscp,post-exploitation,PE-3
oscp,reporting,RP-1
oscp,reporting,RP-2

# Project Management Professional
pmp,people,PE-1
pmp,people,PE-2
pmp,people,PE-3
pmp,people,PE-4
pmp,process,PR-1
pmp,process,PR-2
pmp,process,PR-3
pmp,process,PR-4
pmp,process,PR-5
pmp,business-environment,BE-1
pmp,business-environment,BE-2
pmp,business-environment,BE-3

# Microsoft Security Operations Analyst
sc-200,mitigate-threats,MT-1
sc-200,mitigate-threats,MT-2
sc-200,mitigate-threats,MT-3
sc-200,mitigate-threats,MT-4
sc-200,manage-incidents,MI-1
sc-200,manage-incidents,MI-2
sc-200,manage-incidents,MI-3
sc-200,manage-incidents,MI-4
sc-200,hunting-response,HR-1
sc-200,hunting-response,HR-2
sc-200,hunting-response,HR-3
sc-200,security-ops,SO-1
sc-200,security-ops,SO-2
sc-200,security-ops,SO-3

# CompTIA Security+
security-plus,general-security,GS-1
security-plus,general-security,GS-2
security-plus,general-security,GS-3
security-plus,threats-vulnerabilities,TV-1
security-plus,threats-vulnerabilities,TV-2
security-plus,threats-vulnerabilities,TV-3
security-plus,threats-vulnerabilities,TV-4
security-plus,security-architecture,SA-1
security-plus,security-architecture,SA-2
security-plus,security-architecture,SA-3
security-plus,security-operations,SO-1
security-plus,security-operations,SO-2
security-plus,security-operations,SO-3
security-plus,security-operations,SO-4
security-plus,security-program,SP-1
security-plus,security-program,SP-2
security-plus,security-program,SP-3
