certification_slug,domain_slug,objective_id,title,description,option_a,option_b,option_c,option_d,correct_option,difficulty,tags,explanation,reference_urls
security-plus,general-security,GS-1,SY0-701 — GS-1 (EASY) #1,What is the primary purpose of Compare security controls?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Compare security controls, using recommended services and controls per the exam guide.",B,EASY,security-plus|general-security|GS-1|easy|blueprint-seed,**Answer: B** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (EASY) #2,Which concept is fundamental to Compare security controls?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Compare security controls using CompTIA best practices for General Security Concepts, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,security-plus|general-security|GS-1|easy|blueprint-seed,**Answer: C** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (EASY) #3,Identify the core principle behind Compare security controls?,Mix controls from unrelated domains that do not address the stated objective.,Apply the official General Security Concepts guidance: Compare security controls — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,EASY,security-plus|general-security|GS-1|easy|blueprint-seed,**Answer: D** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (EASY) #4,Which description accurately reflects Compare security controls?,"Follow the documented approach for Compare security controls, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,EASY,security-plus|general-security|GS-1|easy|blueprint-seed,**Answer: A** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (EASY) #5,Which statement best defines the scope of Compare security controls?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Implement Compare security controls using CompTIA best practices for General Security Concepts, including monitoring and least privilege.",B,EASY,security-plus|general-security|GS-1|easy|blueprint-seed,**Answer: B** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (EASY) #6,What is the primary purpose of Compare security controls?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official General Security Concepts guidance: Compare security controls — this aligns with exam blueprint expectations and vendor documentation.,Use an approach that contradicts the exam objective and ignores documented constraints.,C,EASY,security-plus|general-security|GS-1|easy|blueprint-seed,**Answer: C** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (MEDIUM) #7,"During a project review, stakeholders ask how to Compare security controls in the context of CompTIA Security+?",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Compare security controls, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",D,MEDIUM,security-plus|general-security|GS-1|medium|blueprint-seed,**Answer: D** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (MEDIUM) #8,Which configuration satisfies requirements for Compare security controls in the context of CompTIA Security+?,"Implement Compare security controls using CompTIA best practices for General Security Concepts, including monitoring and least privilege.",Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,A,MEDIUM,security-plus|general-security|GS-1|medium|blueprint-seed,**Answer: A** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (MEDIUM) #9,What is the recommended design when applying Compare security controls in the context of CompTIA Security+?,Use an approach that contradicts the exam objective and ignores documented constraints.,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,Apply the official General Security Concepts guidance: Compare security controls — this aligns with exam blueprint expectations and vendor documentation.,B,MEDIUM,security-plus|general-security|GS-1|medium|blueprint-seed,**Answer: B** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
security-plus,general-security,GS-1,SY0-701 — GS-1 (MEDIUM) #10,A team must implement a solution for Compare security controls in the context of CompTIA Security+?,"Deploy without monitoring, backup, or access controls required by the blueprint.",Mix controls from unrelated domains that do not address the stated objective.,"Follow the documented approach for Compare security controls, using recommended services and controls per the exam guide.",Use an approach that contradicts the exam objective and ignores documented constraints.,C,MEDIUM,security-plus|general-security|GS-1|medium|blueprint-seed,**Answer: C** — Compare security controls. Review the official CompTIA exam guide (SY0-701) and linked documentation. Objective: GS-1.,https://www.comptia.org/certifications/security|https://www.comptia.org/training/resources/exam-objectives
